Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
89,HND,Honduras,Tegucigalpa,North America,10432860,112492,92.7431,1.015,0.13
104,HKG,Hong Kong,Hong Kong,Asia,7488865,1104,6783.3922,0.9992,0.09
94,HUN,Hungary,Budapest,Europe,9967308,93028,107.1431,1.0265,0.12
179,ISL,Iceland,Reykjavík,Europe,372899,103000,3.6204,1.0069,0
2,IND,India,New Delhi,Asia,1417173173,3287590,431.0675,1.0068,17.77
4,IDN,Indonesia,Jakarta,Asia,275501339,1904569,144.6529,1.0064,3.45
17,IRN,Iran,Tehran,Asia,88550570,1648195,53.7258,1.0071,1.11
35,IRQ,Iraq,Baghdad,Asia,44496122,438317,101.5158,1.0221,0.56
125,IRL,Ireland,Dublin,Europe,5023109,70273,71.4799,1.0073,0.06
202,IMN,Isle of Man,Douglas,Europe,84519,572,147.7605,1.003,0
98,ISR,Israel,Jerusalem,Asia,9038309,20770,435.1617,1.0155,0.11
25,ITA,Italy,Rome,Europe,59037474,301336,195.9191,0.9966,0.74
52,CIV,Ivory Coast,Yamoussoukro,Africa,28160542,322463,87.3295,1.0248,0.35
139,JAM,Jamaica,Kingston,North America,2827377,10991,257.2447,0.9999,0.04
11,JPN,Japan,Tokyo,Asia,123951692,377930,327.9753,0.9947,1.55
195,JEY,Jersey,Saint Helier,Europe,110778,116,954.9828,1.0106,0
83,JOR,Jordan,Amman,Asia,11285869,89342,126.3221,1.0123,0.14
66,KAZ,Kazakhstan,Nursultan,Asia,19397998,2724900,7.1188,1.0105,0.24
27,KEN,Kenya,Nairobi,Africa,54027487,580367,93.0919,1.0193,0.68
192,KIR,Kiribati,Tarawa,Oceania,131232,811,161.815,1.0183,0
129,KWT,Kuwait,Kuwait City,Asia,4268873,17818,239.5821,1.0044,0.05
110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623,199951,33.1612,1.0158,0.08
103,LAO,Laos,Vientiane,Asia,7529475,236800,31.7968,1.0141,0.09
151,LVA,Latvia,Riga,Europe,1850651,64559,28.666,0.9876,0.02
119,LBN,Lebanon,Beirut,Asia,5489739,10452,525.2334,0.9816,0.07
147,LSO,Lesotho,Maseru,Africa,2305825,30355,75.962,1.0107,0.03
121,LBR,Liberia,Monrovia,Africa,5302681,111369,47.6136,1.021,0.07
107,LBY,Libya,Tripoli,Africa,6812341,1759540,3.8717,1.0114,0.09
216,LIE,Liechtenstein,Vaduz,Europe,39327,160,245.7937,1.0074,0
141,LTU,Lithuania,Vilnius,Europe,2750055,65300,42.1142,0.9869,0.03
168,LUX,Luxembourg,Luxembourg,Europe,647599,2586,250.425,1.0129,0.01
167,MAC,Macau,Concelho de Macau,Asia,695168,30,23172.2667,1.0125,0.01
50,MDG,Madagascar,Antananarivo,Africa,29611714,587041,50.4423,1.0241,0.37
62,MWI,Malawi,Lilongwe,Africa,20405317,118484,172.22,1.0259,0.26
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221,330803,102.5934,1.0109,0.43
174,MDV,Maldives,Malé,Asia,523787,300,1745.9567,1.0045,0.01
59,MLI,Mali,Bamako,Africa,22593590,1240192,18.2178,1.0314,0.28
173,MLT,Malta,Valletta,Europe,533286,316,1687.6139,1.0124,0.01
215,MHL,Marshall Islands,Majuro,Oceania,41569,181,229.663,0.9886,0
180,MTQ,Martinique,Fort-de-France,North America,367507,1128,325.8041,0.9965,0
126,MRT,Mauritania,Nouakchott,Africa,4736139,1030700,4.5951,1.0263,0.06
157,MUS,Mauritius,Port Louis,Africa,1299469,2040,636.9946,1.0004,0.02
182,MYT,Mayotte,Mamoudzou,Africa,326101,374,871.9278,1.0319,0
10,MEX,Mexico,Mexico City,North America,127504125,1964375,64.9082,1.0063,1.6
194,FSM,Micronesia,Palikir,Oceania,114164,702,162.6268,1.0091,0
135,MDA,Moldova,Chisinau,Europe,3272996,33846,96.7026,1.0691,0.04
217,MCO,Monaco,Monaco,Europe,36469,2,18234.5,0.9941,0
134,MNG,Mongolia,Ulaanbaatar,Asia,3398366,1564110,2.1727,1.0151,0.04
169,MNE,Montenegro,Podgorica,Europe,627082,13812,45.4012,0.9988,0.01
230,MSR,Montserrat,Brades,North America,4390,102,43.0392,0.9939,0
40,MAR,Morocco,Rabat,Africa,37457971,446550,83.883,1.0103,0.47
48,MOZ,Mozambique,Maputo,Africa,32969517,801590,41.1302,1.0278,0.41
26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306,676578,80.0784,1.0071,0.68
145,NAM,Namibia,Windhoek,Africa,2567012,825615,3.1092,1.0146,0.03
225,NRU,Nauru,Yaren,Oceania,12668,21,603.2381,1.0125,0
49,NPL,Nepal,Kathmandu,Asia,30547580,147181,207.5511,1.0171,0.38
71,NLD,Netherlands,Amsterdam,Europe,17564014,41850,419.6897,1.0036,0.22
185,NCL,New Caledonia,Nouméa,Oceania,289950,18575,15.6097,1.0075,0
123,NZL,New Zealand,Wellington,Oceania,5185288,270467,19.1716,1.0108,0.07
106,NIC,Nicaragua,Managua,North America,6948392,130373,53.2962,1.0143,0.09
54,NER,Niger,Niamey,Africa,26207977,1267000,20.6851,1.0378,0.33
6,NGA,Nigeria,Abuja,Africa,218541212,923768,236.5759,1.0241,2.74
232,NIU,Niue,Alofi,Oceania,1934,260,7.4385,0.9985,0
56,PRK,North Korea,Pyongyang,Asia,26069416,120538,216.2755,1.0038,0.33
150,MKD,North Macedonia,Skopje,Europe,2093599,25713,81.4218,0.9954,0.03
210,NFK,Northern Mariana Islands,Saipan,Oceania,49551,464,106.7909,1.0014,0
120,NOR,Norway,Oslo,Europe,5434319,323802,16.7828,1.0058,0.07
127,OMN,Oman,Muscat,Asia,4576298,309500,14.7861,1.0123,0.06
5,PAK,Pakistan,Islamabad,Asia,235824862,881912,267.4018,1.0191,2.96
222,PLW,Palau,Ngerulmud,Oceania,18055,459,39.3355,1.0017,0
122,PSE,Palestine,Ramallah,Asia,5250072,6220,844.063,1.0227,0.07
128,PAN,Panama,Panama City,North America,4408581,75417,58.4561,1.0132,0.06
93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619,462840,21.9139,1.0194,0.13
109,PRY,Paraguay,Asunción,South America,6780744,406752,16.6705,1.0115,0.09
44,PER,Peru,Lima,South America,34049588,1285216,26.4933,1.0099,0.43
13,PHL,Philippines,Manila,Asia,115559009,342353,337.5434,1.0147,1.45
37,POL,Poland,Warsaw,Europe,39857145,312679,127.4698,1.0404,0.5
92,PRT,Portugal,Lisbon,Europe,10270865,92090,111.5307,0.9981,0.13
136,PRI,Puerto Rico,San Juan,North America,3252407,8870,366.675,0.9989,0.04
143,QAT,Qatar,Doha,Asia,2695122,11586,232.6189,1.0026,0.03
114,COG,Republic of the Congo,Brazzaville,Africa,5970424,342000,17.4574,1.0231,0.07
161,REU,Reunion,Saint-Denis,Africa,974052,2511,387.914,1.0082,0.01
64,ROU,Romania,Bucharest,Europe,19659267,238391,82.4665,1.0171,0.25
9,RUS,Russia,Moscow,Europe,144713314,17098242,8.4636,0.9973,1.81
76,RWA,Rwanda,Kigali,Africa,13776698,26338,523.0731,1.0234,0.17
228,BLM,Saint Barthelemy,Gustavia,North America,10967,21,522.2381,1.0098,0
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47657,261,182.5939,1.0011,0
190,LCA,Saint Lucia,Castries,North America,179857,616,291.9756,1.0011,0
220,MAF,Saint Martin,Marigot,North America,31791,53,599.8302,0.9951,0
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5862,242,24.2231,0.9964,0
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103948,389,267.2185,0.9963,0
188,WSM,Samoa,Apia,Oceania,222382,2842,78.2484,1.0165,0
218,SMR,San Marino,San Marino,Europe,33660,61,551.8033,0.9975,0
187,STP,Sao Tome and Principe,São Tomé,Africa,227380,964,235.8714,1.0192,0
41,SAU,Saudi Arabia,Riyadh,Asia,36408820,2149690,16.9368,1.0128,0.46
72,SEN,Senegal,Dakar,Africa,17316449,196722,88.025,1.0261,0.22
105,SRB,Serbia,Belgrade,Europe,7221365,88361,81.7257,0.9897,0.09
196,SYC,Seychelles,Victoria,Africa,107118,452,236.9867,1.0061,0
102,SLE,Sierra Leone,Freetown,Africa,8605718,71740,119.957,1.022,0.11
113,SGP,Singapore,Singapore,Asia,5975689,710,8416.4634,1.0058,0.07
214,SXM,Sint Maarten,Philipsburg,North America,44175,34,1299.2647,1.003,0
116,SVK,Slovakia,Bratislava,Europe,5643453,49037,115.0856,1.0359,0.07
148,SVN,Slovenia,Ljubljana,Europe,2119844,20273,104.5649,1.0002,0.03
166,SLB,Solomon Islands,Honiara,Oceania,724273,28896,25.0648,1.0232,0.01
70,SOM,Somalia,Mogadishu,Africa,17597511,637657,27.5971,1.0312,0.22
24,ZAF,South Africa,Pretoria,Africa,59893885,1221037,49.0517,1.0084,0.75
29,KOR,South Korea,Seoul,Asia,51815810,100210,517.0722,0.9997,0.65
86,SSD,South Sudan,Juba,Africa,10913164,619745,17.6091,1.0153,0.14
30,ESP,Spain,Madrid,Europe,47558630,505992,93.9909,1.0015,0.6
61,LKA,Sri Lanka,Colombo,Asia,21832143,65610,332.7563,1.0027,0.27
32,SDN,Sudan,Khartoum,Africa,46874204,1886068,24.8529,1.0267,0.59
170,SUR,Suriname,Paramaribo,South America,618040,163820,3.7727,1.0082,0.01
87,SWE,Sweden,Stockholm,Europe,10549347,450295,23.4276,1.0079,0.13
101,CHE,Switzerland,Bern,Europe,8740472,41284,211.7157,1.0056,0.11
60,SYR,Syria,Damascus,Asia,22125249,185180,119.4797,1.0376,0.28
57,TWN,Taiwan,Taipei,Asia,23893394,36193,660.1662,1.0014,0.3
95,TJK,Tajikistan,Dushanbe,Asia,9952787,143100,69.5513,1.0208,0.12
22,TZA,Tanzania,Dodoma,Africa,65497748,945087,69.3034,1.03,0.82
20,THA,Thailand,Bangkok,Asia,71697030,513120,139.7276,1.0013,0.9
155,TLS,Timor-Leste,Dili,Asia,1341296,14874,90.1772,1.0154,0.02
100,TGO,Togo,Lomé,Africa,8848699,56785,155.8281,1.0236,0.11
233,TKL,Tokelau,Nukunonu,Oceania,1871,12,155.9167,1.0119,0
197,TON,Tonga,Nuku‘alofa,Oceania,106858,747,143.0495,1.0079,0
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044,5130,298.4491,1.0035,0.02
79,TUN,Tunisia,Tunis,Africa,12356117,163610,75.5218,1.0076,0.15
18,TUR,Turkey,Ankara,Asia,85341241,783562,108.9145,1.0067,1.07
111,TKM,Turkmenistan,Ashgabat,Asia,6430770,488100,13.1751,1.014,0.08
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,45703,948,48.2099,1.0131,0
227,TUV,Tuvalu,Funafuti,Oceania,11312,26,435.0769,1.0096,0
31,UGA,Uganda,Kampala,Africa,47249585,241550,195.61,1.0304,0.59
38,UKR,Ukraine,Kiev,Europe,39701739,603500,65.7858,0.912,0.5
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129,83600,112.9322,1.0081,0.12
21,GBR,United Kingdom,London,Europe,67508936,242900,277.9289,1.0034,0.85
3,USA,United States,"Washington, D.C.",North America,338289857,9372610,36.0935,1.0038,4.24
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,99465,347,286.6427,0.9937,0
133,URY,Uruguay,Montevideo,South America,3422794,181034,18.9069,0.999,0.04
43,UZB,Uzbekistan,Tashkent,Asia,34627652,447400,77.3975,1.016,0.43
181,VUT,Vanuatu,Port-Vila,Oceania,326740,12189,26.8061,1.0238,0
234,VAT,Vatican City,Vatican City,Europe,510,1,510,0.998,0
51,VEN,Venezuela,Caracas,South America,28301696,916445,30.882,1.0036,0.35
16,VNM,Vietnam,Hanoi,Asia,98186856,331212,296.4472,1.0074,1.23
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11572,142,81.493,0.9953,0
172,ESH,Western Sahara,El Aaiún,Africa,575986,266000,2.1654,1.0184,0.01
46,YEM,Yemen,Sanaa,Asia,33696614,527968,63.8232,1.0217,0.42
63,ZMB,Zambia,Lusaka,Africa,20017675,752612,26.5976,1.028,0.25
74,ZWE,Zimbabwe,Harare,Africa,16320537,390757,41.7665,1.0204,0.2
